"","FECHA","HORA","CO","NO","NO2","NOX","O3","PM25"
"6646","04/10/2022",22,0.31,1,21,22,37,21
"781","02/02/2022",13,0.11,1,5,6,42,8
"5148","03/08/2022",12,0.28,3,16,19,62,20
"6422","25/09/2022",14,0.27,1,12,13,84,26
"5116","02/08/2022",4,0.62,15,32,47,1,17
"5727","27/08/2022",15,0.19,1,12,13,86,20
"29","02/01/2022",5,2.32,112,33,145,1,64
"1245","21/02/2022",21,0.37,2,22,24,31,16
"7243","29/10/2022",19,0.35,0,11,12,57,27
"7860","24/11/2022",12,0.77,8,39,47,63,52
"562","24/01/2022",10,0.32,3,9,12,25,15
"7973","29/11/2022",5,1.07,36,33,69,2,37
"762","01/02/2022",18,0.26,2,10,12,56,16
"922","08/02/2022",10,0.97,36,26,61,11,42
"7483","08/11/2022",19,0.27,2,17,19,24,9
"2026","26/03/2022",10,0.46,12,26,38,35,34
"5582","21/08/2022",14,0.22,1,9,11,76,31
"7700","17/11/2022",20,0.22,0,14,14,47,12
"7112","24/10/2022",8,0.91,17,29,46,12,29
"657","28/01/2022",9,2.24,126,42,168,2,46
"6330","21/09/2022",18,0.19,2,13,15,44,8
"1915","21/03/2022",19,0.21,2,11,14,45,22
"591","25/01/2022",15,0.2,1,9,10,43,12
"6370","23/09/2022",10,0.21,5,10,15,35,6
"1593","08/03/2022",9,0.78,21,23,44,20,16
"3120","10/05/2022",24,0.19,1,15,16,28,31
"3124","11/05/2022",4,0.12,1,17,18,23,26
"2780","26/04/2022",20,0.28,2,14,16,31,9
"797","03/02/2022",5,0.02,0,4,4,22,6
"6533","30/09/2022",5,0.1,1,15,16,19,6
"3286","17/05/2022",22,0.31,0,17,17,64,40
"1420","01/03/2022",4,0.44,11,33,44,1,18
"7370","04/11/2022",2,0.84,16,34,50,4,14
"2193","02/04/2022",9,1.51,74,61,135,5,61
"4927","25/07/2022",7,0.58,32,23,56,3,12
"6378","23/09/2022",18,0.27,1,13,14,61,15
"1371","27/02/2022",3,0.43,4,34,37,7,19
"1222","20/02/2022",22,0.25,3,17,20,36,16
"3150","12/05/2022",6,0.33,4,26,30,11,15
"7855","24/11/2022",7,1.58,74,34,108,2,41
"8006","30/11/2022",14,0.1,1,7,9,48,14
"7669","16/11/2022",13,0.49,6,29,35,65,31
"2078","28/03/2022",14,0.2,1,13,14,88,33
"7366","03/11/2022",22,1.11,39,35,73,4,18
"7910","26/11/2022",14,0.11,1,6,7,42,12
"1060","14/02/2022",4,0.06,2,18,19,10,13
"7885","25/11/2022",13,0.31,3,21,24,65,41
"141","06/01/2022",21,0.53,8,32,40,10,11
"1787","16/03/2022",11,1.24,27,60,87,34,52
"5801","30/08/2022",17,0.12,1,5,6,46,19
"6935","16/10/2022",23,0.07,0,10,10,36,15
"6864","13/10/2022",24,0.1,2,20,22,15,8
"1054","13/02/2022",22,0.36,3,20,23,11,14
"1419","01/03/2022",3,0.36,13,33,46,1,22
"2939","03/05/2022",11,0.73,10,44,54,53,42
"1188","19/02/2022",12,0.87,11,43,55,51,57
"6456","26/09/2022",24,0.04,1,8,9,22,2
"2933","03/05/2022",5,0.72,20,40,60,9,41
"1446","02/03/2022",6,1.13,85,38,123,3,30
"3567","29/05/2022",15,0.12,1,6,7,73,19
"3018","06/05/2022",18,0.35,1,11,11,90,42
"7496","09/11/2022",8,1.31,67,25,92,2,24
"7770","20/11/2022",18,0.97,7,33,40,24,65
"7290","31/10/2022",18,0.17,1,8,9,44,18
"6868","14/10/2022",4,0.15,7,26,33,8,11
"212","09/01/2022",20,0.34,3,18,20,19,8
"961","10/02/2022",1,0.68,10,26,36,7,13
"3269","17/05/2022",5,0.81,19,37,56,6,47
"7086","23/10/2022",6,0.24,2,14,17,9,17
"5740","28/08/2022",4,0.12,1,9,10,35,13
"6829","12/10/2022",13,0.08,4,11,14,47,11
